ds,yhat,yhat_lower,yhat_upper
2010-11-24,38.03049581486804,27.760664721663243,47.6394222717497
2010-11-29,34.998013724059945,25.22501443080807,44.96827301515478
2010-12-01,34.75225331958929,24.666582081047437,44.350881250357865
2010-12-04,33.58982547735198,22.39758856356839,43.51617530348028
2010-12-08,32.50563198041399,21.42714917900876,43.202889091667004
2010-12-13,30.907023775162077,20.25780574650524,41.699639457909484
2010-12-15,31.22019022681334,20.629014349261737,41.380921567698856
2010-12-18,30.85494699522996,20.27307740437896,41.44497782713438
2010-12-22,30.759583528333753,20.62835350980509,41.40298501150896
2010-12-27,30.305682334554078,19.46071263366685,40.917044766190806
2010-12-29,31.04401837555317,20.164247829647458,41.814718554549415
2011-01-03,30.93400410895033,20.698138923360908,41.196857571090874
2011-01-05,31.720507061177113,20.20770180045001,43.175851685218106
2011-01-12,32.01781356431046,21.085458840954196,43.08195613097216
2011-01-15,31.758093141543057,20.7678719289928,42.35434019957727
2011-01-19,31.202983914137167,21.107750485200015,42.25319980399966
2011-01-22,30.399594256413398,19.51063450652094,40.886703980994696
2011-01-29,28.117973563891727,18.104850798522804,38.402967295838785
2011-02-02,26.80138542301372,16.273448804354963,37.90248076352161
2011-02-05,25.772197552295527,15.022806639550797,36.46945054138842
2011-02-09,24.740722689607686,14.771032886521006,35.13969879204946
2011-02-16,23.2796476920957,12.161692538329962,33.811569996222595
2011-02-19,22.687534589958382,11.088066353034577,33.027866017784405
2011-02-23,22.07038257924308,11.437388656295685,32.440686996806036
2011-02-26,21.463341222695284,10.44671195214672,32.268917313893645
2011-03-03,20.54950805421538,10.403666679920217,31.461507286762345
2011-03-05,20.175188873452303,9.689043340233262,31.12197124199622
2011-03-09,19.600280771773956,8.841517800057543,30.2249185394919
2011-03-14,18.449263568404337,8.368657248486063,29.41287934904699
2011-03-16,18.914149783562223,7.89622038280929,29.210612785102967
2011-03-19,18.750190495139357,8.014822339059057,28.720821465643436
2011-05-07,15.570444326689794,4.631295247549346,26.005329344091024
2011-05-12,15.538288708265103,4.931051189497131,25.359587625522686
2011-05-19,15.515414190247645,4.899144608371532,26.035202741585636
2011-05-21,15.50169414564284,5.7184892239351095,26.348276136495663
2011-05-25,15.588157992461085,5.071818257354632,26.5727572218661
2011-05-28,15.552587485236657,4.248294450338748,25.810885652217536
2011-06-01,15.708483725061667,5.208129084082263,26.46603310142529
2011-06-04,15.736743162868226,5.2259005489276555,26.100136610928168
2011-06-08,15.987084730897138,4.080575952503169,26.029365948040635
2011-06-15,16.443415954589817,6.793417544284284,27.248995931767325
2011-06-29,17.74206153600967,7.34226890654642,29.097791119510582
2011-07-07,18.233744408577973,7.855511409771911,29.706985433166153
2011-07-14,18.363404753940767,7.617021748181237,28.68704397060697
2011-07-16,18.35148681445689,7.66053976704956,29.687590939491443
2011-07-20,18.451251565320185,8.366723876733712,29.678639131787964
2011-07-23,18.484866849699817,8.34499913452361,28.08967863478485
2011-07-27,18.890202254605818,8.321805205895732,29.130337349165103
2011-08-03,20.168497647976718,10.429473741622603,31.07969224337207
2011-08-08,20.927384909999905,9.726212992114396,31.719647631454
2011-08-10,22.09839398273649,10.999304805570096,32.55073827912343
2011-08-17,23.8912870448747,13.351480774072574,33.62716897755039
2011-08-20,24.341652958438097,13.695095980602417,34.47911384296363
2011-08-24,24.79746792835344,13.857454698770036,34.95008752090459
2011-08-27,24.79650873271104,14.321122452942344,36.60182615895146
2011-09-03,24.471110931784185,14.346821786095031,34.80329319653052
2011-09-07,24.25206539966581,13.1594757714846,35.44991460958314
2011-09-14,23.88232673863106,12.644712772500744,34.14786261635436
2011-09-17,23.722967383256137,12.496151660670405,34.28105370752131
2011-09-24,23.583028332999987,13.201056108179062,34.584294134350365
2011-09-28,23.600856675242817,12.26523187466849,33.919624682444535
2011-10-12,24.887016380247243,15.045416559693969,35.65055212230709
2011-10-15,25.67213838764264,15.52196865437748,35.96152080207083
2011-10-19,27.18868785779193,17.141282712713373,37.509420182933724
2011-10-22,28.329700615404533,17.777193568115926,38.94444171304006
2011-10-29,30.84682085789369,20.497454706608856,41.28944855654697
2011-11-02,31.675408623865117,20.938314595782693,43.136495802521026
2011-11-05,31.67683319795974,21.593155320983904,41.48160820292359
2011-11-09,31.124317964375322,20.171835305943382,41.663249063932575
2011-11-16,28.365056619296624,17.917301312902183,38.72913978008
2011-11-17,27.796568136286734,17.651736585577584,39.48112078711224
2011-11-18,27.00120624835329,15.821806974106686,37.08335000577589
2011-11-19,26.715828092107017,16.14408330199076,37.044406318891745
2011-11-22,24.76326356831903,13.997381868249622,35.913936846131634
2011-11-23,24.59689057344595,14.740541056177882,34.807446238813895
2011-11-24,24.00442718446049,12.704823544470464,34.453728993233796
2011-11-25,23.212589872900203,12.487592183883764,33.79569707216536
2011-11-26,22.956378714851986,12.496276044661794,33.08159845030167
2011-11-28,21.463647253761838,10.579710554814847,32.452985249375615
2011-12-01,20.69396840271997,10.576601101867183,31.821635487427216
2011-12-02,20.03463120628146,9.841554900507093,30.660681715090476
2011-12-03,19.91917857041677,9.36366828838331,30.096589931164075
2011-12-06,18.7091592892312,8.640116247578643,29.485899385124124
2011-12-07,18.828403401444827,8.065469668267417,28.9004266112768
2011-12-08,18.533715329117456,7.807661843043997,28.75151482018443
2011-12-09,18.04812183758736,7.295390528328797,28.50354157682256
2011-12-12,17.237813904790908,6.937972994145646,27.58411546694227
2011-12-13,17.308261349461453,7.564704840232435,27.672614297090025
2011-12-14,17.558068256025678,6.811923029574608,28.13329707463594
2011-12-15,17.39042343733707,5.961939070736943,28.26366319691267
2011-12-16,17.028761850772927,5.562091257075118,27.06597132383454
2011-12-17,17.205251558586866,6.746830121419793,28.068555377861205
2011-12-19,16.576373632893205,5.679538237398955,26.754382387356287
2011-12-20,16.763017993143023,5.41331857628001,26.888165957449438
2011-12-22,17.074760502926658,6.480548978399612,27.823387656361927
2011-12-23,16.826608240005683,7.649419733841558,26.942661637552053
2011-12-24,17.11553279779821,6.112206615479751,27.42268140418359
2011-12-26,16.706425713931043,6.3353103448471275,28.180089778945053
2011-12-28,17.465885532723274,7.410069276772465,27.519857491638522
2011-12-29,17.50937145171656,6.879888156773746,28.410551718446108
2011-12-30,17.351489032215564,7.118591290190349,28.031151817598403
2011-12-31,17.722751699796312,7.545625868707048,27.99646583558584
2012-01-02,17.448467070749363,7.897829286011132,28.712888881122474
2012-01-03,17.790439410159447,6.930012419707513,28.5922941189475
2012-01-04,18.292906655354987,7.5357216380130945,29.22426748397294
2012-01-05,18.35670502368022,7.413396391564898,28.72391940088233
2012-01-06,18.202774711581593,8.21072073245841,28.467879618346803
2012-01-07,18.56070538201319,8.118404662187658,28.892884138848324
2012-01-09,18.205518417700148,7.627539528480972,28.502056365655587
2012-01-11,18.89580623889355,8.532473214611215,29.26784716616502
2012-01-12,18.855959536237325,8.847830014050702,29.19434160333623
2012-01-16,18.139395216692538,7.834980865973272,29.411068914020113
2012-01-17,18.243119998867346,7.337107867671397,28.8381180316011
2012-01-20,17.802573813356467,7.252740714272674,28.158661971080438
2012-01-21,17.84228387511402,7.735413240238617,28.41399664839219
2012-01-23,16.825411987104072,6.972645474214869,26.47882708709657
2012-01-28,15.84211721709126,6.115598490616003,26.321345537909437
2012-01-30,14.666592847982024,4.057676809812635,25.545966775506898
2012-01-31,14.55591995568534,4.909707090655277,24.9707045591749
2012-02-01,14.611186788330306,3.012931522180705,24.83468116068253
2012-02-02,14.238209477001865,3.557481202700015,24.8149348427605
2012-02-03,13.662711748816118,3.550496325621638,24.421918025188162
2012-02-04,13.618787486673979,2.8499298247710105,24.486101068128207
2012-02-08,12.61974663680129,1.7055419558333997,22.787538155867967
2012-02-09,12.329376455260833,2.1918119126319344,22.675203728841797
2012-02-10,11.8418219338022,0.21236419496284734,22.4856773336934
2012-02-13,10.987121014612105,-0.325261059429249,21.33833631411352
2012-02-14,11.028221418119875,0.029800306632197945,21.958267758811044
2012-02-15,11.239927040936886,1.3201533946382351,20.893192730511696
2012-02-16,11.024251098970858,1.2955111790711502,21.362968329454578
2012-02-17,10.603335090877474,-0.24998436176422592,21.066030464126403
2012-02-18,10.707997714996996,-0.34958915106020727,21.323624537480974
2012-02-21,9.96191925411599,-1.07467334554831,20.286002594537788
2012-02-22,10.192555933973512,-1.2932581591985717,21.193546068440586
2012-02-23,9.987092864173267,-1.1368485277214926,20.325470054825153
2012-02-24,9.568648891371215,-0.20016276068714087,20.449241432262678
2012-02-25,9.669262644153239,-0.022631428536200118,20.968584229328382
2012-02-27,8.831911149365206,-2.186292302699381,19.836510135705396
2012-02-29,9.102828687531131,-0.9896933795585621,19.94575041399103
2012-03-01,8.884324017294635,-1.8477912923005062,20.109933254676843
2012-03-02,8.456108489356303,-2.3495901109196033,19.530730602193245
2012-03-03,8.55178040781094,-2.100203847615654,19.022953546650736
2012-03-05,7.724457235600056,-2.0657355189539537,18.825587877264056
2012-03-06,7.7965352151008185,-3.0685378327448416,17.87716315036959
2012-03-07,8.038809079591605,-3.373913983998782,18.253672590478562
2012-03-08,7.856142601294871,-2.530177316001206,17.317647671795974
2012-03-09,7.473451589498987,-4.183936394018325,16.8021702843506
2012-03-10,7.624161610518435,-2.732102477605503,18.4298234699437
2012-03-12,6.933282897644798,-3.815119945984142,17.564668952026338
2012-03-13,7.084984813598015,-3.6346760231803117,18.24487688312854
2012-03-14,7.412879138127143,-2.1606909918302843,18.468258358878288
2012-03-15,7.3203618273721345,-4.450207229442166,17.988153863633592
2012-03-16,7.030715851491852,-4.280049048229415,16.48624131974118
2012-03-17,7.275612938181046,-2.997929572037241,18.337248171286774
2012-03-19,6.769198805469467,-4.577607271928335,17.579019695651144
2012-03-20,7.007497567732403,-4.4096574179479635,17.290322244498913
2012-03-21,7.415867292994849,-2.3724755041764536,18.274176635123837
2012-03-22,7.396068016530613,-3.301730034027103,17.273391493541318
2012-03-23,7.169908747909718,-3.5297688375607406,17.883330127788
2012-03-24,7.467787373954756,-3.020068742440424,17.834790626816908
2012-03-26,7.031915093279559,-3.1490455626640603,17.203916639842458
2012-03-27,7.286487606413697,-2.6302402803009346,17.492946915650474
2012-03-28,7.6980836054898845,-2.9487672707627155,18.44454024536515
2012-03-29,7.668548939008105,-3.154878548874779,18.189033594039202
2012-03-30,7.420054959727409,-3.337144878754212,18.659288312173686
2012-03-31,7.683647482442372,-2.762450928861127,18.60013702613956
2012-04-03,7.33801623459992,-2.9211708184959946,17.982490834130612
2012-04-04,7.678809351266766,-2.840539586108591,18.318772671366233
2012-04-05,7.573089660354613,-2.2361314517654414,18.06758708891324
2012-04-06,7.244777335136881,-3.145991126742451,17.72716520310899
2012-04-07,7.426707155810699,-3.198214255389885,17.502581088796926
2012-04-09,6.728550982871926,-3.7104512690397793,16.433562010892917
2012-04-10,6.842710164449322,-3.1220229181137817,16.858245181412588
2012-04-11,7.111796859045873,-3.3129897393305754,17.45689897683855
2012-04-12,6.9407077357372735,-3.194646206191066,17.20533045538803
2012-04-13,6.554588443526613,-3.7931362118059893,17.204772664957414
2012-04-16,5.9194173398592,-4.551118136161025,16.3533867426673
2012-04-17,6.013974434977002,-4.409976263104186,17.19623574596354
2012-04-18,6.273834235213383,-3.8305553911265857,16.942801878410602
2012-04-19,6.1037559753253765,-4.4983426790857095,16.757992649920546
2012-04-20,5.7285305186041215,-4.677624161852492,16.03741371947906
2012-04-21,5.881460269897912,-4.810626215269894,16.319975171443073
2012-04-23,5.178935601531167,-5.08183731908443,16.661652146477387
2012-04-24,5.3167360805048824,-4.882755282000908,15.473032489264192
2012-04-25,5.625452044541926,-5.275372552201996,16.157382723676573
2012-04-26,5.508686563087861,-5.203818835899883,15.099487022856021
2012-04-27,5.190046730997349,-6.079488879892152,15.283460889670943
2012-04-28,5.4016548111736835,-5.660403208068078,15.53405419664554
2012-04-30,4.818237796442261,-6.30022400952719,14.753537727562998
2012-05-02,5.379397781384007,-5.262447898184066,16.868191024973502
2012-05-03,5.316121310977329,-5.253350621339881,15.955228344381526
2012-05-04,5.0475167462075525,-5.9795170379715525,15.099598253661487
2012-05-05,5.3052079967304735,-4.542845818359941,15.880090354609878
2012-05-07,4.800833818243667,-6.259273942331003,14.943135147034223
2012-05-08,5.029657770124281,-5.723413107003598,15.160580442700343
2012-05-09,5.422837887589354,-5.247785302384296,15.695477043048303
2012-05-10,5.383383406931982,-5.979076899711041,16.346558124445245
2012-05-11,5.134546011739248,-5.447392298240775,15.77957587265006
2012-05-12,5.408322121144774,-6.434327546949642,16.167421672654065
2012-05-14,4.926888829101603,-5.973002111163293,15.337432250595766
2012-05-15,5.163585004292649,-5.550456757336295,15.773786827544104
2012-05-16,5.562949831666304,-5.162393032604984,16.099913503278316
2012-05-17,5.528524651450525,-4.171087375865683,16.103868521277438
2012-05-18,5.284072770717087,-5.023720664867367,15.482451073142235
2012-05-19,5.562067877714069,-5.36267535083912,16.01971503114664
2012-05-21,5.090243800332351,-5.0779178529048,15.735324212673525
2012-05-22,5.333022356116309,-5.483635986801027,16.09998690413797
2012-05-23,5.739677707811511,-5.151950614574357,16.00048144084204
2012-05-25,5.4796859578625545,-5.477031730574051,16.562749568687728
2012-05-26,5.76946084966859,-4.930851022162405,16.6829324088824
2012-05-28,5.325922744084093,-5.430903112163054,16.046098426912216
2012-05-29,5.585094687441167,-4.808886638782779,15.697504414562284
2012-05-30,6.009514295082852,-4.274722131257748,16.40428015895352
2012-05-31,6.002784767002314,-5.081687517933791,16.730470316607587
2012-06-01,5.788656896750284,-4.46643064177422,16.0715062701602
2012-06-02,6.099529588129757,-4.576669685419729,16.115493896379956
2012-06-04,5.700588394898192,-4.328013105333195,16.099326848674004
2012-06-05,5.983027192428556,-5.0171747156561874,16.500995249931975
2012-06-06,6.431229842968563,-4.383156734405041,16.923955062573018
2012-06-07,6.4487229031935245,-3.48065723629089,17.774954722073524
2012-06-08,6.259195313809305,-3.536722122023574,16.65323238487406
2012-06-09,6.594995574773947,-4.194550869387843,17.43016607678447
2012-06-11,6.246716409890209,-4.785777972300704,16.63689820465842
2012-06-12,6.554796091437907,-3.6060306730571052,17.78713240297236
2012-06-13,7.0287650653476135,-3.3025678380946175,17.56812615406217
2012-06-14,7.0720634513813625,-4.477046874923184,17.475067102879436
2012-06-15,6.908264403460808,-4.2221241047396605,16.740619882367422
2012-06-16,7.269564762574676,-3.5935258358189834,17.680697832531074
2012-06-18,6.970784565431088,-4.408042585733207,17.499461165883574
2012-06-19,7.3023417672867295,-2.9686282681745855,17.83292995123365
2012-06-20,7.79851626263153,-3.2008388085702606,17.851442053474862
2012-06-21,7.8623763906758395,-3.2241083144901452,17.78299689727257
2012-06-22,7.717086979528685,-2.6805513957521825,18.66011363155427
2012-06-23,8.094408425079791,-2.3620902555491403,18.219622512426362
2012-06-25,7.81838622174674,-2.245609364626354,18.221014177870316
2012-06-26,8.155776313544983,-2.5505072457412483,18.083529308337827
2012-06-27,8.653519053793055,-2.4150231909222817,18.728704009878765
2012-06-28,8.714310119313987,-1.6942807361951944,19.033846474951677
2012-06-29,8.561005759967454,-1.5097927602406016,20.070656848013876
2012-06-30,8.925140052387393,-1.2020590174125545,19.510414803729617
2012-07-02,8.60683577332781,-1.3106765196292194,19.35309663672313
2012-07-03,8.915238042051065,-1.1510414212547344,19.32823200773236
2012-07-04,9.379059757280782,-1.1940486834752957,19.399391908031493
2012-07-05,9.423470771360314,-1.1017877814915926,19.8611556811679
2012-07-06,9.24981827298378,-1.1231631692493402,19.73923279733917
2012-07-07,9.590346296183565,-0.35847524624188487,20.100633966537153
2012-07-09,9.218617868751238,-1.9235099470249286,20.06838933272007
2012-07-10,9.499311494334677,-0.9407449512405646,20.19489195222833
2012-07-11,9.93635161922811,-0.4345276934061957,20.258513321624225
2012-07-12,9.93414035613747,-0.9503960212710845,19.756695603418486
2012-07-13,9.717445477430816,-0.6799708874974134,20.98561003543268
2012-07-14,10.019886803493097,-0.5417511359488011,20.647085416015436
2012-07-16,9.5922686093926,-0.7575633300052188,18.89079884070477
2012-07-17,9.857718474795831,-0.8243359109162088,20.108462922022113
2012-07-18,10.289517448523902,0.5719072317780152,21.172059160545373
2012-07-19,10.293038050988162,0.19950801367954218,20.951540130594136
2012-07-20,10.093833940091406,0.04733532446529888,20.5232037932381
2012-07-21,10.426096568819235,-0.29597094895485854,20.805963896192353
2012-07-23,10.09617828293801,0.5067250350380237,21.016994588142385
2012-07-24,10.429372211803077,-0.25770839099601156,20.16686912171769
2012-07-25,10.94095251668248,0.6783969890597603,21.955096707377468
2012-07-26,11.035514124621368,1.0870626013769178,21.4199964873188
2012-07-27,10.937550778520132,0.3613623131404382,21.693847560871657
2012-07-28,11.379923819349052,0.5159471516991039,21.987552106105092
2012-07-30,11.290286436614107,0.35565279521625764,21.924217399116298
2012-07-31,11.749847167922058,1.017133472296941,22.508226421616463
2012-08-01,12.389127542407538,2.022084204275039,22.773811795788305
2012-08-03,12.636014455719394,1.7491364314341564,23.07412505849235
2012-08-04,13.196312982942874,1.8643505129540556,23.94373728682553
2012-08-06,13.316646160731292,3.0690593143478826,24.407956899807214
2012-08-07,13.863978802364091,2.960443877810632,23.844554781363442
2012-08-08,14.576993018327759,3.5030502496065625,24.8776187496419
2012-08-09,14.85638428848302,4.458648801961553,25.525976795242368
2012-08-10,14.922960949700443,4.065168225399401,25.177519015140124
2012-08-11,15.506197671919105,4.490868398412012,26.00775509740548
2012-08-13,15.615674587935798,4.475585487785022,25.809343290326744
2012-08-14,16.12888175306942,5.705648568001591,26.162109681387285
2012-08-15,16.789037976801133,6.434875906934637,27.28424534798412
2012-08-16,16.99759772108755,6.272916994480856,27.286654633432633
2012-08-17,16.97647947750265,6.2728950107959225,27.594545945280213
2012-08-18,17.456595323102025,7.2257233706244195,28.475378037987387
2012-08-21,17.695921535074547,6.947065825992817,27.92727410386415
2012-08-23,18.26960780282606,7.415777484487273,28.88975057723226
2012-08-24,18.096457486317437,8.287948321496659,28.979219660615996
2012-08-25,18.424865500301095,6.978690568612533,29.39933427775751
2012-08-27,17.99616286468222,7.642712076745755,28.708749162640736
2012-08-28,18.2346415013291,7.932205631596651,28.82172546260032
2012-08-31,18.285897780406955,7.4955546778384186,28.350242687725224
2012-09-01,18.522604816533594,7.843382422588836,29.530876947070933
2012-09-03,17.952152828687485,7.037116449387676,28.19131146588903
2012-09-04,18.140900507064096,7.356364317692924,28.492384012359384
2012-09-05,18.492289376566955,7.252661996984249,29.38795712168978
2012-09-06,18.411219733431388,7.342719471798846,29.77396913732089
2012-09-07,18.122523235769556,8.193404512728401,28.90407388480539
2012-09-08,18.359446280430774,8.696929461665304,29.361555790211924
2012-09-10,17.81664031759717,7.5134827894823655,28.2463591457502
2012-09-11,18.029653881529757,8.099776774460922,28.608300245891144
2012-09-12,18.410055121472652,7.4500338411299065,28.9001901314889
2012-09-13,18.361087698280414,8.394305020512025,28.890568803622973
2012-09-14,18.105997542952995,7.133585497337737,29.11614496208998
2012-09-17,17.896249443253687,6.956298804945195,28.60895178938409
2012-09-18,18.136208255920288,7.112421656363365,29.310090090995182
2012-09-19,18.539877733811352,9.088981679909928,29.05487067516164
2012-09-20,18.510263331402765,8.325790283003265,28.48401776793667
2012-09-21,18.270682811164633,8.038941614802841,28.301698326622812
2012-09-22,18.553302297592225,8.66939646064998,29.440173756512674
2012-09-24,18.089692203929797,8.12115016154594,28.033339419193986
2012-09-25,18.336479114983344,7.112910282409848,29.198227201185368
2012-09-26,18.74777770650639,8.380982096824573,29.449968339806432
2012-09-27,18.72817263755055,7.864469056876159,29.148204159139823
2012-09-28,18.50267039724892,7.657880020647089,29.638803588858867
2012-09-29,18.80517712187867,8.364161386275256,28.58576140496632
2012-10-01,18.405613087402514,7.164121579273513,29.00778537640142
2012-10-02,18.69973348069735,8.718510756278363,29.332393187233343
2012-10-04,19.22325960333674,8.429348936439027,29.85480444751295
2012-10-05,19.08407759056615,8.379061156031252,29.48871368060963
2012-10-06,19.487162963821284,9.97618876815241,29.310359681853143
2012-10-08,19.331172303773933,8.301086269984278,29.498520920590675
2012-10-09,19.76705165170764,9.767583089242647,30.591078348766615
2012-10-10,20.39124271588466,9.685799158095532,30.41666658339987
2012-10-11,20.607694772255968,9.79101298461848,31.75643727285625
2012-10-12,20.6400606503695,10.9790371921978,31.719363314246525
2012-10-13,21.22016029705697,11.486911786250158,32.10495063039756
2012-10-15,21.423001037951106,10.66358279098051,31.987910818242824
2012-10-16,22.081941949735423,11.174185109677012,33.30743924041954
2012-10-17,22.9218870098357,12.3220432737249,33.669477741006325
2012-10-18,23.343209296905126,12.59779861080123,33.72048400691782
2012-10-19,23.565982601777026,13.220495259685134,33.32732615339505
2012-10-20,24.318526032848325,13.398971254615686,33.96867874867348
2012-10-22,24.799236866722588,14.040781599550666,35.52651154259724
2012-10-23,25.510017519857072,15.412180558225634,35.941741307889544
2012-10-24,26.372203425530294,15.619079785709939,37.973791978151134
2012-10-25,26.784210761303115,15.784344514713066,37.83862280416652
2012-10-27,27.6409434369902,15.994908894475293,37.38114163180583
2012-10-29,27.86657948684643,17.304808935494588,38.64790005715138
2012-10-30,28.399634598690803,17.03746900169287,38.784535701957914
2012-10-31,29.052349797339573,18.80609721703418,39.93658435876134
2012-11-01,29.22513940860634,17.94008304944592,40.350124775597344
2012-11-02,29.13914999257152,19.185361569212905,39.61691848254121
2012-11-03,29.524801265880715,19.60773406711275,39.846720137212515
2012-11-05,29.110701598090515,18.700824811596952,40.12555708122271
2012-11-06,29.302559001176032,19.186933812550667,39.37908762784423
2012-11-07,29.60552454422541,19.477814052050004,39.97079349924791
2012-11-08,29.424438978777275,18.548667513801476,39.973750874926644
2012-11-09,28.984912314899454,18.33759675646288,40.27511682292272
2012-11-10,29.021778279393523,18.432453219287616,39.57531636208843
2012-11-12,27.941270316873123,17.606018416118904,38.89397763112386
2012-11-13,27.823348134934573,17.264901250456006,38.43955006219353
2012-11-14,27.836831665300622,16.940265438630338,38.515164762712416
2012-11-15,27.389570746759333,17.200817885223813,38.84655786079731
2012-11-16,26.709724257713134,16.45748463355853,37.212907737135154
2012-11-17,26.53417867631648,15.646450718556801,36.752189664135
2012-11-19,25.118171890156137,14.554896413776664,35.29147310461072
2012-11-20,24.87863411088196,13.90985696815773,35.2286669303863
2012-11-21,24.801367413719767,14.433778623637425,35.941360746525945
2012-11-22,24.293680841840292,14.496997556765109,34.30184234968012
2012-11-23,23.582733926754123,13.162298987773106,34.20472473545628
2012-11-24,23.403999551216657,12.897048935736494,33.46777404485515
2012-11-26,22.05794471249348,11.626891904352584,31.728267548216763
2012-11-27,21.88715041736254,11.319740936053345,32.326826750058466
2012-11-28,21.897874113946852,11.386667902993869,33.555261647656984
2012-11-29,21.494826903964203,11.383776999900148,31.96391362888255
2012-11-30,20.902530980888358,10.578417074931691,31.881229386907464
2012-12-01,20.85384655026578,9.79968763060278,31.193083023693585
2012-12-03,19.79211430053078,9.886259871153898,30.770938884850057
